order_id,order_value,category,discount_pct,payment_method,past_orders,past_returns,account_age_days,city_tier,delivery_days,product_rating,returned
ORD100188,2883.71,Footwear,10.1,Prepaid,4,0,106,Tier3,4,3.4,1
ORD100189,2513.45,Apparel,16.3,COD,5,2,258,Metro,7,4.1,1
ORD100190,1493.12,Electronics,9.9,Prepaid,6,1,128,Metro,7,5.0,0
ORD100191,1994.7,Apparel,4.2,Prepaid,4,0,26,Metro,1,3.7,0
ORD100192,2996.81,Beauty,28.3,Prepaid,4,0,157,Metro,6,3.8,0
ORD100193,1009.92,Footwear,16.6,Prepaid,2,0,538,Tier2,8,4.1,0
ORD100194,1056.97,Beauty,13.4,COD,3,0,55,Metro,2,4.1,0
ORD100195,617.23,Groceries,22.2,COD,2,0,455,Tier3,7,3.6,1
ORD100196,964.12,Electronics,27.9,Prepaid,6,1,79,Tier2,3,3.8,0
ORD100197,1037.79,Groceries,9.8,Prepaid,2,1,206,Metro,7,3.2,0
ORD100198,3346.78,Home,10.7,COD,2,0,531,Tier2,6,3.7,1
ORD100199,1176.47,Books,26.6,COD,2,0,229,Metro,8,3.5,1
ORD100200,1152.5,Books,16.4,Prepaid,1,0,295,Metro,5,3.5,0
ORD100201,20.69,Groceries,23.2,Prepaid,3,0,134,Metro,6,4.1,0
ORD100202,3696.45,Footwear,8.2,COD,3,2,521,Metro,2,3.8,1
ORD100203,439.9,Books,21.8,Prepaid,4,0,249,Metro,7,5.0,1
ORD100204,1570.78,Electronics,14.6,COD,5,0,29,Metro,3,2.1,0
ORD100205,2171.4,Footwear,27.6,Prepaid,2,0,1733,Tier3,9,4.5,1
ORD100206,1150.67,Apparel,9.2,Prepaid,3,1,248,Metro,8,2.7,1
ORD100207,2093.32,Groceries,22.9,COD,7,0,73,Tier2,4,4.6,0
ORD100208,600.28,Electronics,38.5,Prepaid,5,1,0,Metro,3,3.8,0
ORD100209,3236.74,Electronics,24.0,COD,4,0,665,Metro,3,2.6,1
ORD100210,2903.61,Footwear,11.5,Prepaid,2,1,1571,Metro,9,3.5,1
ORD100211,706.23,Home,16.8,Prepaid,5,0,105,Tier2,6,3.4,0
ORD100212,2517.24,Electronics,2.7,Prepaid,5,1,113,Metro,9,4.3,1
ORD100213,564.56,Beauty,30.2,Prepaid,4,0,211,Metro,3,3.9,0
ORD100214,1677.51,Apparel,24.0,COD,4,0,91,Metro,2,5.0,0
ORD100215,1135.03,Home,24.9,COD,4,0,56,Metro,3,3.8,0
ORD100216,152.91,Electronics,25.9,COD,4,0,1320,Tier2,6,3.4,0
ORD100217,1957.06,Groceries,49.6,Prepaid,1,0,62,Metro,2,4.5,0
ORD100218,1078.26,Beauty,8.7,Prepaid,3,0,603,Tier3,7,4.0,0
ORD100219,1918.07,Home,45.3,COD,0,0,406,Metro,3,4.4,0
ORD100220,1008.77,Books,17.9,Prepaid,2,2,223,Tier3,1,5.0,0
ORD100221,2116.82,Groceries,25.2,Prepaid,2,0,334,Metro,9,3.8,0
ORD100222,2579.13,Electronics,23.7,Prepaid,1,1,265,Metro,2,4.7,0
ORD100223,757.38,Books,26.5,COD,5,1,259,Tier2,3,3.5,0
ORD100224,1373.5,Beauty,1.2,Prepaid,3,0,894,Metro,5,3.4,0
ORD100225,1151.96,Groceries,5.7,COD,4,1,131,Tier2,2,4.0,0
ORD100226,1225.7,Beauty,7.0,Prepaid,4,0,100,Tier2,6,3.8,0
ORD100227,796.38,Electronics,15.2,COD,2,1,663,Metro,2,4.7,1
ORD100228,1898.96,Groceries,13.4,Prepaid,4,0,56,Tier2,9,3.6,0
ORD100229,592.12,Apparel,12.5,Prepaid,6,1,42,Metro,3,3.8,0
ORD100230,1855.33,Beauty,27.8,COD,5,0,652,Metro,9,3.7,0
ORD100231,601.04,Beauty,30.7,Prepaid,4,0,458,Tier2,8,4.3,0
ORD100232,1964.04,Electronics,9.0,Prepaid,2,2,587,Metro,2,4.3,0
ORD100233,1100.51,Groceries,10.0,Prepaid,6,2,586,Metro,9,4.0,0
ORD100234,1515.52,Groceries,20.2,COD,4,1,278,Tier3,3,3.5,1
ORD100235,1117.92,Beauty,9.2,COD,4,0,44,Tier3,4,4.1,0
ORD100236,397.01,Apparel,24.5,COD,6,2,44,Metro,7,3.9,0
ORD100237,2431.23,Beauty,9.2,Prepaid,4,2,626,Tier2,7,2.8,1
ORD100238,1248.46,Apparel,13.8,Prepaid,3,1,180,Metro,1,3.5,0
ORD100239,2200.85,Books,25.6,Prepaid,7,1,5,Tier3,4,2.9,1
ORD100240,1456.32,Groceries,11.7,Prepaid,8,3,118,Tier3,2,2.8,1
ORD100241,3993.56,Beauty,28.4,COD,2,2,210,Tier3,2,3.9,1
ORD100242,3849.82,Home,23.1,Prepaid,4,0,903,Metro,7,4.6,0
ORD100243,963.34,Electronics,8.8,COD,4,0,834,Metro,7,4.2,1
ORD100244,1134.91,Footwear,19.1,Prepaid,3,0,106,Tier3,8,3.8,1
ORD100245,1203.98,Books,21.2,Prepaid,2,2,27,Tier2,9,4.3,0
ORD100246,510.16,Groceries,14.3,COD,4,1,139,Metro,1,3.5,0
ORD100247,2574.86,Home,34.3,Prepaid,6,1,430,Tier2,1,3.9,0
ORD100248,2985.1,Electronics,9.6,COD,2,1,414,Tier3,6,4.4,1
ORD100249,765.24,Books,13.7,Prepaid,4,0,0,Tier2,2,2.4,0
ORD100250,1529.72,Books,21.1,COD,4,1,119,Tier2,6,4.4,0
ORD100251,367.4,Electronics,14.7,COD,4,0,218,Tier2,8,3.3,0
ORD100252,616.09,Electronics,21.1,Prepaid,3,0,368,Tier3,5,4.1,0
ORD100253,1747.75,Home,14.5,Prepaid,2,2,446,Metro,6,4.0,1
ORD100254,135.62,Groceries,37.7,Prepaid,0,0,199,Metro,8,3.8,1
ORD100255,36.63,Groceries,14.7,Prepaid,3,0,11,Metro,4,4.4,0
ORD100256,2956.73,Books,16.6,COD,3,0,31,Metro,4,3.7,1
ORD100257,3759.47,Footwear,37.1,Prepaid,3,0,731,Tier3,5,2.3,0
ORD100258,1542.26,Groceries,21.3,COD,6,2,293,Metro,5,3.0,0
ORD100259,2287.83,Books,31.7,COD,2,0,48,Tier3,7,5.0,0
ORD100260,814.49,Books,53.3,Prepaid,3,0,200,Metro,6,4.1,0
ORD100261,625.86,Apparel,4.9,COD,7,1,42,Tier2,2,3.8,0
ORD100262,613.82,Footwear,2.9,Prepaid,3,1,815,Metro,8,4.5,1
ORD100263,1494.58,Books,2.3,Prepaid,8,0,9,Tier2,4,2.7,1
ORD100264,631.15,Books,2.8,COD,4,0,141,Metro,2,4.9,0
ORD100265,1260.81,Footwear,11.1,Prepaid,4,0,62,Metro,4,5.0,0
ORD100266,561.9,Groceries,19.6,Prepaid,5,0,663,Metro,5,3.0,0
ORD100267,1991.19,Footwear,36.7,COD,2,0,611,Tier3,8,2.7,0
ORD100268,2887.49,Books,9.6,COD,2,0,349,Metro,3,5.0,0
ORD100269,1850.91,Books,18.4,Prepaid,2,2,678,Tier3,9,3.8,1
ORD100270,2777.32,Home,25.4,Prepaid,6,1,262,Tier2,2,4.0,0
ORD100271,3843.05,Footwear,19.6,COD,4,0,38,Metro,6,5.0,0
ORD100272,1235.51,Books,5.2,COD,5,1,272,Metro,3,2.7,0
ORD100273,701.21,Home,5.4,Prepaid,2,2,213,Tier3,5,4.2,1
ORD100274,1265.1,Electronics,9.2,COD,1,1,79,Metro,1,3.0,0
ORD100275,593.32,Footwear,15.8,COD,2,0,219,Metro,7,4.1,0
ORD100276,400.22,Electronics,11.8,COD,2,2,448,Metro,2,4.2,1
ORD100277,2335.76,Apparel,57.5,Prepaid,2,0,42,Tier2,2,3.8,1
ORD100278,1139.05,Footwear,27.7,Prepaid,2,0,89,Tier2,5,3.8,1
ORD100279,553.55,Beauty,6.8,Prepaid,4,1,543,Tier2,6,4.3,0
ORD100280,2775.1,Electronics,15.3,Prepaid,4,2,152,Metro,5,3.8,0
ORD100281,103.97,Beauty,19.7,Prepaid,0,0,377,Tier2,8,4.0,1
ORD100282,1754.14,Electronics,35.7,Prepaid,5,0,237,Metro,6,3.7,0
ORD100283,882.64,Groceries,8.8,Prepaid,5,2,670,Metro,4,4.6,0
ORD100284,490.63,Apparel,14.6,Prepaid,5,1,950,Tier3,4,4.4,0
ORD100285,2180.84,Home,15.1,COD,7,0,1239,Metro,9,4.5,0
ORD100286,161.76,Electronics,5.2,COD,3,1,256,Tier3,3,3.7,0
ORD100287,1721.17,Electronics,18.3,Prepaid,3,0,32,Tier3,5,4.3,0
ORD100288,2256.53,Books,13.1,Prepaid,6,2,20,Metro,9,4.5,0
ORD100289,2453.2,Beauty,14.0,Prepaid,4,0,720,Tier2,4,4.2,0
ORD100290,4038.85,Apparel,8.1,Prepaid,2,0,71,Metro,3,4.8,0
ORD100291,1362.54,Beauty,21.9,COD,5,1,57,Metro,9,3.9,1
ORD100292,1486.38,Groceries,11.8,COD,5,0,5,Metro,6,3.8,0
ORD100293,1404.63,Groceries,37.9,COD,1,0,218,Tier2,7,3.6,1
ORD100294,1838.07,Apparel,15.8,COD,5,0,295,Tier3,7,2.3,1
ORD100295,1748.8,Footwear,15.7,Prepaid,5,1,41,Tier3,7,3.2,0
ORD100296,1164.18,Apparel,6.6,COD,4,1,313,Metro,9,4.6,0
ORD100297,2241.1,Books,20.0,COD,4,0,777,Metro,1,4.0,0
ORD100298,1600.49,Books,28.8,Prepaid,1,1,220,Tier3,4,4.1,1
ORD100299,820.43,Footwear,28.9,Prepaid,2,0,257,Tier3,5,4.0,0
ORD100300,1737.02,Apparel,25.3,COD,2,1,434,Tier2,6,4.6,1
ORD100301,847.12,Beauty,15.5,Prepaid,7,0,237,Tier2,2,3.5,0
ORD100302,521.58,Apparel,11.7,COD,5,0,604,Metro,5,3.9,0
ORD100303,527.85,Footwear,2.3,Prepaid,5,1,817,Tier3,6,3.1,1
ORD100304,1814.13,Beauty,13.7,Prepaid,4,0,106,Tier2,5,3.9,0
ORD100305,1761.22,Apparel,25.1,Prepaid,8,1,62,Metro,1,3.1,0
ORD100306,1455.09,Beauty,13.7,Prepaid,3,0,544,Tier2,1,4.0,0
ORD100307,3539.76,Home,15.0,Prepaid,5,2,423,Tier2,2,4.0,1
ORD100308,984.44,Electronics,10.0,Prepaid,3,0,156,Tier2,3,5.0,0
ORD100309,2431.78,Electronics,14.8,COD,3,0,4,Metro,6,3.6,0
ORD100310,1389.4,Beauty,29.0,COD,6,0,220,Metro,9,4.5,1
ORD100311,658.29,Books,9.8,Prepaid,5,3,235,Metro,9,2.9,1
ORD100312,2584.35,Footwear,21.7,COD,7,1,597,Metro,8,3.5,0
ORD100313,1420.73,Electronics,15.1,COD,5,1,169,Tier3,9,3.2,0
ORD100314,1209.96,Apparel,26.8,COD,5,0,141,Metro,8,3.9,1
ORD100315,4752.13,Books,20.5,Prepaid,2,0,236,Metro,9,4.2,0
ORD100316,2312.17,Footwear,35.3,Prepaid,1,0,431,Metro,8,3.6,0
ORD100317,709.7,Home,9.9,Prepaid,2,2,183,Tier3,7,4.4,1
ORD100318,63.17,Apparel,4.3,Prepaid,5,3,275,Metro,9,3.2,0
ORD100319,3811.96,Books,23.7,Prepaid,5,2,68,Tier2,4,3.5,1
ORD100320,244.76,Electronics,14.2,Prepaid,7,0,265,Metro,9,3.7,0
ORD100321,373.22,Footwear,24.0,COD,7,0,46,Tier2,2,4.0,1
ORD100322,729.18,Apparel,3.1,COD,5,0,21,Tier2,1,4.4,1
ORD100323,2979.98,Groceries,17.0,Prepaid,5,0,203,Tier2,7,3.7,0
ORD100324,684.68,Books,21.3,COD,2,0,3,Metro,3,4.4,1
ORD100325,2147.47,Books,27.3,COD,8,0,586,Tier3,9,4.5,1
ORD100326,449.9,Books,2.2,Prepaid,6,0,89,Tier2,9,3.5,0
ORD100327,3372.87,Beauty,2.8,COD,4,1,55,Tier3,1,4.1,1
